branch	parent	child	child_is_tip	branch_length	codon_sites	#MH(>=2)	#SH(=1)	SumDist(0..3)	MH_per_unit_length	MH_per_expected_nt_subs
0	INTERNAL	13	0	43.083	928	2	62	66	0.0464221	1.66746e-05
1	13	Vicugna_pacos	1	20.917	928	0	15	15	0	0
2	13	14	0	16.5653	928	0	13	13	0	0
3	14	Camelus_dromedarius	1	4.3517	928	0	1	1	0	0
4	14	Camelus_bactrianus	1	4.3517	928	0	4	4	0	0
5	INTERNAL	37	0	2.15735	928	9	53	71	4.17178	0.00149849
6	37	Hippopotamus_amphibius	1	61.8426	928	3	95	101	0.0485102	1.74246e-05
7	37	25	0	50.919	928	5	95	106	0.0981953	3.52713e-05
8	25	Phacochoerus_africanus	1	10.9237	928	0	7	7	0	0
9	25	Sus_scrofa	1	10.9237	928	1	12	14	0.0915441	3.28822e-05
