PREDICTED TRANSCRIPTION START SITES:

cds_region__ref_NC_037336.1__33772346-33876376_46427-66333___, 19906 nucleotides

  Position  Score  Likelihood
      3200  1.114  Highly likely prediction
      4100  0.591  Marginal prediction
      6100  1.098  Highly likely prediction
      6700  0.765  Marginal prediction
      8700  1.149  Highly likely prediction
      9700  1.089  Highly likely prediction
     11400  0.617  Marginal prediction
     12000  0.579  Marginal prediction
     12500  0.607  Marginal prediction
     13400  1.091  Highly likely prediction
     13900  0.530  Marginal prediction
     14500  1.106  Highly likely prediction
     15400  0.603  Marginal prediction
     16900  0.696  Marginal prediction
