#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-C540C3C7B79F9DC-2DA877D56FA84C0F
#datatype	hitsFull Results
#status	0
#Start time	2023-08-25T05:38:33	Run time	0:00:00:29
#status	Warning: Too many queries.	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Antechinus_flavipes_1	non-specific	380584	37	446	0	535.029	cd06361	PBP1_GPC6A-like	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	superfamily	447875	37	446	0	535.029	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#1 - >Antechinus_flavipes_1	non-specific	320408	518	767	6.33929e-138	409.551	cd15281	7tmC_GPRC6A	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	superfamily	452889	518	767	6.33929e-138	409.551	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#1 - >Antechinus_flavipes_1	non-specific	320172	519	766	5.62325e-100	310.94	cd15044	7tmC_V2R_AA_sensing_receptor-like	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380586	31	340	2.01425e-92	297.296	cd06363	PBP1_taste_receptor	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380573	37	342	2.62616e-91	291.892	cd06350	PBP1_GPCR_family_C-like	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380587	37	442	3.68077e-82	271.822	cd06364	PBP1_CaSR	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380585	34	434	1.6042e-69	237.577	cd06362	PBP1_mGluR	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320410	521	766	1.80976e-69	230.241	cd15283	7tmC_V2R_pheromone	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	specific	425415	513	761	1.15902e-63	213.63	pfam00003	7tm_3	 - 	cl02802
Q#1 - >Antechinus_flavipes_1	superfamily	425415	513	761	1.15902e-63	213.63	cl02802	7tm_3 superfamily	 - 	 - 
Q#1 - >Antechinus_flavipes_1	non-specific	320409	519	767	1.54497e-60	205.954	cd15282	7tmC_CaSR	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380588	37	441	1.54619e-59	210.192	cd06365	PBP1_pheromone_receptor	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320407	521	768	1.67907e-59	203.092	cd15280	7tmC_V2R-like	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320091	519	767	3.35168e-56	193.992	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320416	523	766	9.27745e-51	178.769	cd15289	7tmC_TAS1R1	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380598	33	434	3.08048e-48	178.092	cd06375	PBP1_mGluR_groupII	 - 	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320417	520	766	8.17623e-46	164.849	cd15290	7tmC_TAS1R3	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	specific	426045	75	300	3.6972e-43	159.456	pfam01094	ANF_receptor	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320174	520	767	6.0506e-40	148.057	cd15046	7tmC_TAS1R	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320600	518	767	4.78827e-38	142.752	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	380597	27	306	1.88781e-37	146.72	cd06374	PBP1_mGluR_groupI	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	380599	34	357	6.05573e-37	145.331	cd06376	PBP1_mGluR_groupIII	C	cl10011
Q#1 - >Antechinus_flavipes_1	non-specific	320414	520	767	1.69736e-36	138.279	cd15287	7tmC_TAS1R2a-like	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320173	519	766	4.16351e-36	136.992	cd15045	7tmC_mGluRs	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320412	520	766	5.39634e-35	133.916	cd15285	7tmC_mGluR_group1	 - 	cl28897
Q#1 - >Antechinus_flavipes_1	non-specific	320415	521	767	4.84723e-33	128.366	cd15288	7tmC_TAS1R2	 - 	cl28897
