branch	parent	child	child_is_tip	branch_length	codon_sites	#MH(>=2)	#SH(=1)	SumDist(0..3)	MH_per_unit_length	MH_per_expected_nt_subs
0	INTERNAL	36	0	16.9992	929	3	43	49	0.176479	6.33222e-05
1	36	14	0	71.3803	929	6	82	94	0.0840568	3.01603e-05
2	14	Loxodonta_africana	1	8.4397	929	0	5	5	0	0
3	14	Elephas_maximus	1	8.4397	929	0	3	3	0	0
4	36	37	0	4.72	929	1	33	35	0.211864	7.60188e-05
5	37	25	0	7.205	929	1	30	32	0.138793	4.98e-05
6	25	13	0	3.895	929	2	31	35	0.513479	0.000184241
7	13	Chrysochloris_asiatica	1	64	929	6	144	156	0.09375	3.36383e-05
8	13	Echinops_telfairi	1	64	929	17	178	213	0.265625	9.53086e-05
9	25	Elephantulus_edwardii	1	67.895	929	15	160	190	0.220929	7.92714e-05
10	37	Orycteropus_afer	1	75.1	929	9	108	126	0.11984	4.29997e-05
11	INTERNAL	35	0	29.0906	929	3	43	49	0.103126	3.70025e-05
12	35	Dasypus_novemcinctus	1	67.7286	929	7	92	106	0.103354	3.70842e-05
13	35	Choloepus_didactylus	1	67.7286	929	6	104	116	0.0885889	3.17865e-05
