branch	parent	child	child_is_tip	branch_length	codon_sites	#MH(>=2)	#SH(=1)	SumDist(0..3)	MH_per_unit_length	MH_per_expected_nt_subs
0	INTERNAL	67	0	5.3653	929	3	70	76	0.559149	0.000200627
1	67	14	0	59.5647	929	5	87	97	0.0839423	3.01192e-05
2	14	Cynocephalus_volans	1	19.8	929	0	23	23	0	0
3	14	Galeopterus_variegatus	1	19.8	929	1	27	29	0.0505051	1.81217e-05
4	67	71	0	5.60978	929	0	27	27	0	0
5	71	35	0	14.4549	929	1	36	38	0.0691806	2.48226e-05
6	35	13	0	20.2607	929	2	84	88	0.0987133	3.54192e-05
7	13	Nycticebus_coucang	1	39.0393	929	1	60	62	0.0256152	9.19096e-06
8	13	Otolemur_garnettii	1	39.0393	929	3	71	77	0.0768456	2.75729e-05
9	35	36	0	23.3	929	2	31	35	0.0858369	3.0799e-05
10	36	25	0	0.06	929	0	9	9	0	0
11	25	Propithecus_coquereli	1	35.94	929	0	27	27	0	0
12	25	Microcebus_murinus	1	35.94	929	1	48	50	0.0278242	9.98355e-06
13	36	37	0	16.27	929	0	22	22	0	0
14	37	Lemur_catta	1	19.73	929	0	22	22	0	0
15	37	Eulemur_rufifrons	1	19.73	929	0	17	17	0	0
16	71	77	0	5.15492	929	1	25	27	0.193989	6.96051e-05
17	77	97	0	25.7	929	6	65	77	0.233463	8.37686e-05
18	97	51	0	25.0165	929	0	36	36	0	0
19	51	34	0	1.48348	929	0	2	2	0	0
20	34	Aotus_nancymaae	1	16.4	929	1	27	29	0.0609756	2.18786e-05
21	34	Callithrix_jacchus	1	16.4	929	1	52	54	0.0609756	2.18786e-05
22	51	33	0	2.48348	929	0	2	2	0	0
23	33	43	0	9.22	929	0	23	23	0	0
24	43	Cebus_imitator	1	6.18	929	0	12	12	0	0
25	43	Sapajus_apella	1	6.18	929	0	12	12	0	0
26	33	Saimiri_boliviensis	1	15.2967	929	1	33	35	0.0653737	2.34567e-05
27	97	98	0	14.08	929	0	17	17	0	0
28	98	63	0	9.36286	929	0	13	13	0	0
29	63	49	0	10.924	929	0	15	15	0	0
30	49	50	0	1.12418	929	0	1	1	0	0
31	50	Symphalangus_syndactylus	1	7.409	929	0	11	11	0	0
32	50	Hylobates_moloch	1	7.409	929	0	8	8	0	0
33	49	Nomascus_leucogenys	1	8.53318	929	0	7	7	0	0
34	63	48	0	4.25714	929	0	5	5	0	0
35	48	60	0	6.6	929	0	11	11	0	0
36	60	Gorilla_gorilla	1	8.6	929	11	69	91	1.27907	0.000458941
37	60	57	0	2.2	929	0	14	14	0	0
38	57	Homo_sapiens	1	6.4	929	2	4	8	0.3125	0.000112128
39	57	Pan_paniscus	1	6.4	929	0	7	7	0	0
40	48	56	0	11.09	929	1	21	23	0.0901713	3.23543e-05
41	56	Pongo_pygmaeus	1	4.11	929	0	0	0	0	0
42	56	Pongo_abelii	1	4.11	929	0	0	0	0	0
43	98	78	0	11.065	929	1	15	17	0.0903751	3.24274e-05
44	78	82	0	5.42784	929	0	7	7	0	0
45	82	Chlorocebus_sabaeus	1	12.3272	929	0	14	14	0	0
46	82	83	0	1.87316	929	0	3	3	0	0
47	83	73	0	2.954	929	0	2	2	0	0
48	73	47	0	2.98	929	0	1	1	0	0
49	47	Papio_anubis	1	4.52	929	0	8	8	0	0
50	47	Theropithecus_gelada	1	4.52	929	0	5	5	0	0
51	73	68	0	2.7663	929	0	2	2	0	0
52	68	Mandrillus_leucophaeus	1	4.7337	929	0	3	3	0	0
53	68	Cercocebus_atys	1	4.7337	929	0	4	4	0	0
54	83	87	0	5.95678	929	0	2	2	0	0
55	87	84	0	0.2888	929	0	1	1	0	0
56	84	Macaca_thibetana	1	4.20842	929	0	6	6	0	0
57	84	72	0	0.89101	929	0	3	3	0	0
58	72	Macaca_mulatta	1	3.31741	929	0	2	2	0	0
59	72	Macaca_fascicularis	1	3.31741	929	0	1	1	0	0
60	87	Macaca_nemestrina	1	4.49722	929	0	5	5	0	0
61	78	92	0	4.96845	929	0	6	6	0	0
62	92	79	0	2.67772	929	0	5	5	0	0
63	79	Trachypithecus_francoisi	1	10.1088	929	0	7	7	0	0
64	79	80	0	7.91883	929	0	5	5	0	0
65	80	Rhinopithecus_roxellana	1	2.19	929	0	4	4	0	0
66	80	Rhinopithecus_bieti	1	2.19	929	0	5	5	0	0
67	92	94	0	2.43155	929	0	2	2	0	0
68	94	Piliocolobus_tephrosceles	1	10.355	929	1	16	18	0.0965717	3.46508e-05
69	94	Colobus_angolensis	1	10.355	929	1	26	28	0.0965717	3.46508e-05
70	77	Carlito_syrichta	1	68.6	929	24	190	241	0.349854	0.000125531
71	INTERNAL	Tupaia_chinensis	1	84.73	929	7	90	104	0.0826154	2.96431e-05
