species_key	repeat_event_key	exon_index	exon_pos_median	length_median	repeat_class_family	repeat_name	supporting_assemblies	callable_assemblies	support_fraction	species_repeat_confidence	support_accessions
Addax nasomaculatus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	138.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_019593525.1;GCA_044231825.1
Alces alces	repeat_insertion|ex2|pos~240|unclassified	2	237.0	808.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_007570765.1;GCA_015832495.2;GCA_059051325.1;GCA_059051365.1;GCA_964270355.1
Alces alces	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_007570765.1;GCA_015832495.2;GCA_059051325.1;GCA_059051365.1;GCA_964270355.1
Alces alces	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_007570765.1;GCA_015832495.2;GCA_059051325.1;GCA_059051365.1;GCA_964270355.1
Ammotragus lervia	repeat_insertion|ex3|pos~400|unclassified	3	407.0	146.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_002201775.1
Ammotragus lervia	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_002201775.1
Antilocapra americana	repeat_insertion|ex6|pos~740|unclassified	6	732.0	7.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_004027515.2;GCA_007570785.1;GCA_021018645.1;GCA_051176575.2;GCA_051176615.2
Axis porcinus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_003798545.1;GCA_054883215.1;GCA_054883225.1
Axis porcinus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_003798545.1;GCA_054883215.1;GCA_054883225.1
Axis porcinus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_003798545.1;GCA_054883215.1;GCA_054883225.1
Axis porcinus	repeat_insertion|ex3|pos~380|unclassified	3	388.0	12.0	unclassified	unclassified	1	3	0.3333333333333333	LOW	GCA_003798545.1
Axis porcinus	repeat_insertion|ex3|pos~400|unclassified	3	393.0	10.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_003798545.1;GCA_054883215.1;GCA_054883225.1
Axis porcinus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	272.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_003798545.1;GCA_054883215.1;GCA_054883225.1
Beatragus hunteri	repeat_insertion|ex3|pos~400|unclassified	3	402.0	139.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_004027495.1
Beatragus hunteri	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_004027495.1
Bison bison	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_000754665.1;GCF_000754665.1
Bison bonasus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_963879515.1
Bos gaurus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_014182915.2;GCA_965225615.1
Bos gaurus x Bos taurus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_946052875.1
Bos grunniens	repeat_insertion|ex3|pos~200|unclassified	3	210.0	6.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_005887515.3;GCA_027580245.1;GCA_050059765.1;GCA_055505025.1;GCF_055505025.1
Bos grunniens x Bos taurus	repeat_insertion|ex3|pos~200|unclassified	3	210.0	6.0	unclassified	unclassified	1	2	0.5	MEDIUM	GCA_009493645.1
Bos grunniens x Bos taurus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	2	0.5	MEDIUM	GCA_009493655.1
Bos indicus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	46	47	0.9787234042553191	HIGH	GCA_000247795.2;GCA_002933975.1;GCA_026262375.1;GCA_026262465.1;GCA_026262515.1;GCA_026262545.1;GCA_029378735.1;GCA_029378745.1;GCA_030267345.1;GCA_030267355.1;GCA_030267375.1;GCA_030269505.1;GCA_030269805.1;GCA_030269815.1;GCA_030270685.1;GCA_030270705.1;GCA_030270715.1;GCA_030270725.1;GCA_030270805.1;GCA_030270825.1;GCA_030270845.1;GCA_030270855.1;GCA_030270865.1;GCA_030270935.1;GCA_030270945.1;GCA_030270955.1;GCA_030270995.1;GCA_030271795.1;GCA_030271805.1;GCA_030272135.1;GCA_030272235.1;GCA_030272475.1;GCA_030272495.1;GCA_030272505.1;GCA_033030755.1;GCA_039881165.1;GCA_057190485.1;GCA_057190515.1;GCA_057190595.1;GCA_963966175.1;GCA_963966215.1;GCA_963966345.1;GCA_963966355.1;GCA_963966425.1;GCF_000247795.1;GCF_029378745.1
Bos indicus x Bos taurus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	10	10	1.0	HIGH	GCA_003369685.2;GCA_003369695.2;GCA_012069665.1;GCA_012070425.1;GCA_012070445.1;GCA_012070465.1;GCA_012070475.1;GCA_012070485.1;GCA_056825275.1;GCF_003369695.1
Bos javanicus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_032452875.1;GCF_032452875.1
Bos mutus	repeat_insertion|ex3|pos~200|unclassified	3	210.0	6.0	unclassified	unclassified	6	6	1.0	HIGH	GCA_000298355.1;GCA_002968435.1;GCA_007646595.3;GCA_027580195.2;GCF_000298355.1;GCF_027580195.1
