branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	13	0	37.3318	1	0	0
1	13	14	0	12.7335	1	0	0
2	14	Pteropus_alecto	1	11.9346	1	0	0
3	14	Pteropus_vampyrus	1	11.9346	1	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	1	0	0
5	INTERNAL	68	0	7	1	0	0
6	68	25	0	45.2	1	0	0
7	25	Saccopteryx_leptura	1	9.8	1	0	0
8	25	Saccopteryx_bilineata	1	9.8	1	0	0
9	68	47	0	3.68585	1	0	0
10	47	43	0	13.8141	1	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	1	0	0
12	43	34	0	9.73776	1	0	0
13	34	35	0	3.30694	1	0	0
14	35	37	0	6.6721	1	0	0
15	37	Sturnira_hondurensis	1	17.7832	1	0	0
16	37	Artibeus_jamaicensis	1	17.7832	1	0	0
17	35	36	0	13.2553	1	0	0
18	36	Phyllostomus_hastatus	1	11.2	1	0	0
19	36	Phyllostomus_discolor	1	11.2	1	0	0
20	34	Desmodus_rotundus	1	27.7622	1	0	0
21	47	63	0	5.51643	1	0	0
22	63	Molossus_molossus	1	45.7977	1	0	0
23	63	48	0	0	1	0	0
24	48	56	0	17.0412	1	0	0
25	56	57	0	10.5153	1	0	0
26	57	51	0	6.8221	1	0	0
27	51	33	0	0.83774	1	0	0
28	33	Myotis_brandtii	1	10.5814	1	0	0
29	33	Myotis_yumanensis	1	10.5814	1	0	0
30	51	Myotis_lucifugus	1	11.4192	1	0	0
31	57	49	0	4.99638	1	0	0
32	49	Myotis_davidii	1	13.2449	1	0	0
33	49	50	0	0.1449	1	0	0
34	50	Myotis_daubentonii	1	13.1	1	0	0
35	50	Myotis_myotis	1	13.1	1	0	0
36	56	60	0	2.9687	1	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	1	0	0
38	60	Eptesicus_fuscus	1	25.7878	1	0	0
39	48	Miniopterus_natalensis	1	45.7977	1	0	0
0	INTERNAL	13	0	37.3318	2	0	0
1	13	14	0	12.7335	2	0	0
2	14	Pteropus_alecto	1	11.9346	2	0	0
3	14	Pteropus_vampyrus	1	11.9346	2	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	2	0	0
5	INTERNAL	68	0	7	2	0	0
6	68	25	0	45.2	2	1	0
7	25	Saccopteryx_leptura	1	9.8	2	0	0
8	25	Saccopteryx_bilineata	1	9.8	2	0	0
9	68	47	0	3.68585	2	0	0
10	47	43	0	13.8141	2	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	2	0	0
12	43	34	0	9.73776	2	0	0
13	34	35	0	3.30694	2	0	0
14	35	37	0	6.6721	2	0	0
15	37	Sturnira_hondurensis	1	17.7832	2	0	0
16	37	Artibeus_jamaicensis	1	17.7832	2	1	0
17	35	36	0	13.2553	2	0	0
18	36	Phyllostomus_hastatus	1	11.2	2	0	0
19	36	Phyllostomus_discolor	1	11.2	2	0	0
20	34	Desmodus_rotundus	1	27.7622	2	0	0
21	47	63	0	5.51643	2	0	0
22	63	Molossus_molossus	1	45.7977	2	0	0
23	63	48	0	0	2	0	0
24	48	56	0	17.0412	2	0	0
25	56	57	0	10.5153	2	0	0
26	57	51	0	6.8221	2	0	0
27	51	33	0	0.83774	2	0	0
28	33	Myotis_brandtii	1	10.5814	2	0	0
29	33	Myotis_yumanensis	1	10.5814	2	0	0
30	51	Myotis_lucifugus	1	11.4192	2	0	0
31	57	49	0	4.99638	2	0	0
32	49	Myotis_davidii	1	13.2449	2	0	0
33	49	50	0	0.1449	2	0	0
34	50	Myotis_daubentonii	1	13.1	2	0	0
35	50	Myotis_myotis	1	13.1	2	0	0
36	56	60	0	2.9687	2	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	2	0	0
38	60	Eptesicus_fuscus	1	25.7878	2	0	0
39	48	Miniopterus_natalensis	1	45.7977	2	0	0
0	INTERNAL	13	0	37.3318	3	0	0
1	13	14	0	12.7335	3	0	0
2	14	Pteropus_alecto	1	11.9346	3	0	0
3	14	Pteropus_vampyrus	1	11.9346	3	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	3	1	0
5	INTERNAL	68	0	7	3	0	0
6	68	25	0	45.2	3	0	0
7	25	Saccopteryx_leptura	1	9.8	3	0	0
8	25	Saccopteryx_bilineata	1	9.8	3	0	0
9	68	47	0	3.68585	3	0	0
10	47	43	0	13.8141	3	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	3	0	0
12	43	34	0	9.73776	3	0	0
13	34	35	0	3.30694	3	0	0
14	35	37	0	6.6721	3	0	0
15	37	Sturnira_hondurensis	1	17.7832	3	0	0
16	37	Artibeus_jamaicensis	1	17.7832	3	1	0
17	35	36	0	13.2553	3	0	0
18	36	Phyllostomus_hastatus	1	11.2	3	0	0
19	36	Phyllostomus_discolor	1	11.2	3	0	0
20	34	Desmodus_rotundus	1	27.7622	3	0	0
21	47	63	0	5.51643	3	0	0
22	63	Molossus_molossus	1	45.7977	3	0	0
23	63	48	0	0	3	0	0
24	48	56	0	17.0412	3	0	0
25	56	57	0	10.5153	3	0	0
26	57	51	0	6.8221	3	0	0
27	51	33	0	0.83774	3	0	0
