repeat_event_key	exon_index	repeat_class_family	repeat_name	positive_species	positive_species_list	parsimony_score	inferred_origins	origin_details	chronology_note
repeat_insertion|ex4|pos~40|unclassified	4	unclassified	unclassified	38	Ammotragus lervia;Axis porcinus;Beatragus hunteri;Bison bison;Bison bonasus;Bos gaurus;Bos indicus;Bos javanicus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Budorcas taxicolor;Capra aegagrus;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Cephalophula zebra;Connochaetes taurinus;Damaliscus lunatus;Hippotragus equinus;Hippotragus niger;Madoqua kirkii;Moschus moschiferus;Nanger dama;Nanger granti;Neotragus moschatus;Neotragus pygmaeus;Oreamnos americanus;Oreotragus oreotragus;Oryx gazella;Pseudois nayaur;Saiga tatarica;Syncerus caffer;Tragelaphus eurycerus;Tragelaphus imberbis	11	Axis porcinus | Moschus moschiferus | Bovinae | Alcelaphini | Hippotragus | Oryx gazella | Cephalophula zebra | Ammotragus lervia | Budorcas taxicolor | Capra | Capricornis sumatraensis | Oreamnos americanus | Pseudois nayaur | Nanger | Saiga tatarica | Madoqua kirkii | Neotragus | Oreotragus oreotragus	"[{""depth"": 7, ""descendants"": [""Axis porcinus""], ""n_descendants"": 1, ""node"": ""Axis porcinus""}, {""depth"": 6, ""descendants"": [""Moschus moschiferus""], ""n_descendants"": 1, ""node"": ""Moschus moschiferus""}, {""depth"": 6, ""descendants"": [""Bison bison"", ""Bison bonasus"", ""Bos frontalis"", ""Bos gaurus"", ""Bos grunniens"", ""Bos indicus"", ""Bos javanicus"", ""Bos mutus"", ""Bos taurus"", ""Bubalus bubalis"", ""Bubalus depressicornis"", ""Bubalus kerabau"", ""Syncerus caffer"", ""Pseudoryx nghetinhensis"", ""Tragelaphus buxtoni"", ""Tragelaphus eurycerus"", ""Tragelaphus imberbis"", ""Tragelaphus oryx"", ""Tragelaphus scriptus"", ""Tragelaphus spekii"", ""Tragelaphus strepsiceros""], ""n_descendants"": 21, ""node"": ""Bovinae""}, {""depth"": 6, ""descendants"": [""Alcelaphus buselaphus"", ""Beatragus hunteri"", ""Connochaetes taurinus"", ""Damaliscus lunatus""], ""n_descendants"": 4, ""node"": ""Alcelaphini""}, {""depth"": 7, ""descendants"": [""Hippotragus equinus"", ""Hippotragus niger""], ""n_descendants"": 2, ""node"": ""Hippotragus""}, {""depth"": 8, ""descendants"": [""Oryx gazella""], ""n_descendants"": 1, ""node"": ""Oryx gazella""}, {""depth"": 7, ""descendants"": [""Cephalophula zebra""], ""n_descendants"": 1, ""node"": ""Cephalophula zebra""}, {""depth"": 7, ""descendants"": [""Ammotragus lervia""], ""n_descendants"": 1, ""node"": ""Ammotragus lervia""}, {""depth"": 7, ""descendants"": [""Budorcas taxicolor""], ""n_descendants"": 1, ""node"": ""Budorcas taxicolor""}, {""depth"": 7, ""descendants"": [""Capra aegagrus"", ""Capra falconeri"", ""Capra hircus"", ""Capra ibex"", ""Capra nubiana"", ""Capra sibirica""], ""n_descendants"": 6, ""node"": ""Capra""}, {""depth"": 7, ""descendants"": [""Capricornis sumatraensis""], ""n_descendants"": 1, ""node"": ""Capricornis sumatraensis""}, {""depth"": 7, ""descendants"": [""Oreamnos americanus""], ""n_descendants"": 1, ""node"": ""Oreamnos americanus""}, {""depth"": 7, ""descendants"": [""Pseudois nayaur""], ""n_descendants"": 1, ""node"": ""Pseudois nayaur""}, {""depth"": 7, ""descendants"": [""Nanger dama"", ""Nanger granti""], ""n_descendants"": 2, ""node"": ""Nanger""}, {""depth"": 7, ""descendants"": [""Saiga tatarica""], ""n_descendants"": 1, ""node"": ""Saiga tatarica""}, {""depth"": 7, ""descendants"": [""Madoqua kirkii""], ""n_descendants"": 1, ""node"": ""Madoqua kirkii""}, {""depth"": 7, ""descendants"": [""Neotragus moschatus"", ""Neotragus pygmaeus""], ""n_descendants"": 2, ""node"": ""Neotragus""}, {""depth"": 7, ""descendants"": [""Oreotragus oreotragus""], ""n_descendants"": 1, ""node"": ""Oreotragus oreotragus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex3|pos~400|unclassified	3	unclassified	unclassified	34	Addax nasomaculatus;Ammotragus lervia;Axis porcinus;Beatragus hunteri;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Cephalophula zebra;Cephalophus harveyi;Cervus nippon;Connochaetes taurinus;Damaliscus lunatus;Elaphurus davidianus;Hippotragus equinus;Hippotragus niger;Kobus ellipsiprymnus;Kobus leche;Oreamnos americanus;Oryx dammah;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pantholops hodgsonii;Pseudois nayaur;Redunca redunca;Rupicapra rupicapra	4	Axis porcinus | Cervus nippon | Elaphurus davidianus | Alcelaphini | Hippotragini | Reduncini | Cephalophini | Caprini | Pantholops hodgsonii	"[{""depth"": 7, ""descendants"": [""Axis porcinus""], ""n_descendants"": 1, ""node"": ""Axis porcinus""}, {""depth"": 8, ""descendants"": [""Cervus nippon""], ""n_descendants"": 1, ""node"": ""Cervus nippon""}, {""depth"": 7, ""descendants"": [""Elaphurus davidianus""], ""n_descendants"": 1, ""node"": ""Elaphurus davidianus""}, {""depth"": 6, ""descendants"": [""Alcelaphus buselaphus"", ""Beatragus hunteri"", ""Connochaetes taurinus"", ""Damaliscus lunatus""], ""n_descendants"": 4, ""node"": ""Alcelaphini""}, {""depth"": 6, ""descendants"": [""Addax nasomaculatus"", ""Hippotragus equinus"", ""Hippotragus niger"", ""Oryx dammah"", ""Oryx gazella""], ""n_descendants"": 5, ""node"": ""Hippotragini""}, {""depth"": 6, ""descendants"": [""Kobus ellipsiprymnus"", ""Kobus leche"", ""Redunca redunca""], ""n_descendants"": 3, ""node"": ""Reduncini""}, {""depth"": 6, ""descendants"": [""Cephalophula zebra"", ""Cephalophus harveyi"", ""Philantomba maxwellii"", ""Sylvicapra grimmia""], ""n_descendants"": 4, ""node"": ""Cephalophini""}, {""depth"": 6, ""descendants"": [""Ammotragus lervia"", ""Budorcas taxicolor"", ""Capra aegagrus"", ""Capra falconeri"", ""Capra hircus"", ""Capra ibex"", ""Capra nubiana"", ""Capra sibirica"", ""Capricornis sumatraensis"", ""Nilgiritragus hylocrius"", ""Oreamnos americanus"", ""Ovibos moschatus"", ""Ovis ammon"", ""Ovis aries"", ""Ovis canadensis"", ""Ovis nivicola"", ""Ovis orientalis"", ""Ovis vignei"", ""Pseudois nayaur"", ""Rupicapra rupicapra""], ""n_descendants"": 20, ""node"": ""Caprini""}, {""depth"": 6, ""descendants"": [""Pantholops hodgsonii""], ""n_descendants"": 1, ""node"": ""Pantholops hodgsonii""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex3|pos~200|unclassified	3	unclassified	unclassified	23	Alces alces;Axis porcinus;Bos grunniens;Bos mutus;Capreolus capreolus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Elaphurus davidianus;Hydropotes inermis;Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Rucervus eldii;Rusa alfredi	2	Cervidae | Bos grunniens | Bos mutus	"[{""depth"": 4, ""descendants"": [""Muntiacus crinifrons"", ""Muntiacus feae"", ""Muntiacus gongshanensis"", ""Muntiacus muntjak"", ""Muntiacus reevesi"", ""Muntiacus vaginalis"", ""Axis porcinus"", ""Cervus albirostris"", ""Cervus canadensis"", ""Cervus elaphus"", ""Cervus hanglu"", ""Cervus nippon"", ""Dama dama"", ""Megaloceros giganteus"", ""Elaphurus davidianus"", ""Rucervus eldii"", ""Rusa alfredi"", ""Alces alces"", ""Capreolus capreolus"", ""Capreolus pygargus"", ""Hydropotes inermis"", ""Odocoileus hemionus"", ""Odocoileus virginianus"", ""Rangifer tarandus""], ""n_descendants"": 24, ""node"": ""Cervidae""}, {""depth"": 9, ""descendants"": [""Bos grunniens""], ""n_descendants"": 1, ""node"": ""Bos grunniens""}, {""depth"": 9, ""descendants"": [""Bos mutus""], ""n_descendants"": 1, ""node"": ""Bos mutus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex2|pos~240|unclassified	2	unclassified	unclassified	22	Alces alces;Axis porcinus;Capreolus capreolus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Elaphurus davidianus;Hydropotes inermis;Moschus moschiferus;Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Rucervus eldii;Rusa alfredi	2	Cervidae | Moschus moschiferus	"[{""depth"": 4, ""descendants"": [""Muntiacus crinifrons"", ""Muntiacus feae"", ""Muntiacus gongshanensis"", ""Muntiacus muntjak"", ""Muntiacus reevesi"", ""Muntiacus vaginalis"", ""Axis porcinus"", ""Cervus albirostris"", ""Cervus canadensis"", ""Cervus elaphus"", ""Cervus hanglu"", ""Cervus nippon"", ""Dama dama"", ""Megaloceros giganteus"", ""Elaphurus davidianus"", ""Rucervus eldii"", ""Rusa alfredi"", ""Alces alces"", ""Capreolus capreolus"", ""Capreolus pygargus"", ""Hydropotes inermis"", ""Odocoileus hemionus"", ""Odocoileus virginianus"", ""Rangifer tarandus""], ""n_descendants"": 24, ""node"": ""Cervidae""}, {""depth"": 6, ""descendants"": [""Moschus moschiferus""], ""n_descendants"": 1, ""node"": ""Moschus moschiferus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex3|pos~260|unclassified	3	unclassified	unclassified	21	Alces alces;Axis porcinus;Capreolus capreolus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Elaphurus davidianus;Hydropotes inermis;Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Rucervus eldii;Rusa alfredi	1	Cervidae	"[{""depth"": 4, ""descendants"": [""Muntiacus crinifrons"", ""Muntiacus feae"", ""Muntiacus gongshanensis"", ""Muntiacus muntjak"", ""Muntiacus reevesi"", ""Muntiacus vaginalis"", ""Axis porcinus"", ""Cervus albirostris"", ""Cervus canadensis"", ""Cervus elaphus"", ""Cervus hanglu"", ""Cervus nippon"", ""Dama dama"", ""Megaloceros giganteus"", ""Elaphurus davidianus"", ""Rucervus eldii"", ""Rusa alfredi"", ""Alces alces"", ""Capreolus capreolus"", ""Capreolus pygargus"", ""Hydropotes inermis"", ""Odocoileus hemionus"", ""Odocoileus virginianus"", ""Rangifer tarandus""], ""n_descendants"": 24, ""node"": ""Cervidae""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex6|pos~280|unclassified	6	unclassified	unclassified	6	Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus spekii;Tragelaphus strepsiceros	1	Tragelaphus	"[{""depth"": 7, ""descendants"": [""Tragelaphus buxtoni"", ""Tragelaphus eurycerus"", ""Tragelaphus imberbis"", ""Tragelaphus oryx"", ""Tragelaphus scriptus"", ""Tragelaphus spekii"", ""Tragelaphus strepsiceros""], ""n_descendants"": 7, ""node"": ""Tragelaphus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex1|pos~80|unclassified	1	unclassified	unclassified	2	Tragulus javanicus;Tragulus kanchil	1	Tragulus	"[{""depth"": 1, ""descendants"": [""Tragulus javanicus"", ""Tragulus kanchil""], ""n_descendants"": 2, ""node"": ""Tragulus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex3|pos~380|unclassified	3	unclassified	unclassified	2	Cervus nippon;Elaphurus davidianus	2	Cervus nippon | Elaphurus davidianus	"[{""depth"": 8, ""descendants"": [""Cervus nippon""], ""n_descendants"": 1, ""node"": ""Cervus nippon""}, {""depth"": 7, ""descendants"": [""Elaphurus davidianus""], ""n_descendants"": 1, ""node"": ""Elaphurus davidianus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex3|pos~140|simple/tandem	3	simple/tandem	tandem-repeat-like	1	Tragelaphus buxtoni	1	Tragelaphus	"[{""depth"": 7, ""descendants"": [""Tragelaphus buxtoni"", ""Tragelaphus eurycerus"", ""Tragelaphus imberbis"", ""Tragelaphus oryx"", ""Tragelaphus scriptus"", ""Tragelaphus spekii"", ""Tragelaphus strepsiceros""], ""n_descendants"": 7, ""node"": ""Tragelaphus""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
repeat_insertion|ex3|pos~400|simple/tandem	3	simple/tandem	tandem-repeat-like	1	Oryx gazella	1	Oryx gazella	"[{""depth"": 8, ""descendants"": [""Oryx gazella""], ""n_descendants"": 1, ""node"": ""Oryx gazella""}]"	Relative phylogenetic chronology inferred from presence/absence; RepeatMasker divergence is reported separately when available.
